department,course_title,meeting_type,weekdays,start_time,end_time,class_time,room,building
CHE,Quantm Chem & Spectroscopy+Lab,second meeting time,T,1340,1620,0140 - 0420pm,351,Wall Academic Center
CHE,Quantm Chem & Spectroscopy+Lab,lecture,MWF,0830,0920,0830 - 0920am,243,Wall Academic Center
CHE,Organic Spectroscopy,lecture,MWF,1230,1320,1230 - 0120pm,307,Wall Academic Center
CHE,Literature Investigation,lecture,,,,TBA ,,
CHE,Laboratory Research I,lecture,,,,TBA ,,
CHE,Lab Research I: Glycoscience,lecture,,,,TBA ,,
CHE,Biocatalysis Research,lecture,,,,TBA ,,
CHE,Chemical Ecology Research,lecture,,,,TBA ,,
CHE,Polymer Research,lecture,,,,TBA ,,
CHE,Exploring Iron Catalysis II,lecture,,,,TBA ,,
CHE,Laboratory Research I,lecture,,,,TBA ,,
CHE,Energy Research,lecture,,,,TBA ,,
CHE,Chemical Ecology Research,lecture,,,,TBA ,,
CHE,Carbon Dioxide Hydrogenation,lecture,,,,TBA ,,
CHE,Phosphorus Catalyst Research,lecture,,,,TBA ,,
CHE,Lab Research II: Glycoscience,lecture,,,,TBA ,,
CHE,Polymer Research,lecture,,,,TBA ,,
CHE,Enzyme Engineering Research,lecture,,,,TBA ,,
CHE,Laboratory Research II,lecture,,,,TBA ,,
CHE,Green Chemistry Research,lecture,,,,TBA ,,
CHE,Sem in Biological Chemistry,lecture,TR,1215,1330,1215 - 0130pm,1096,Chambers Building
CHE,Seminar in Organic Chemistry,lecture,MWF,1130,1220,1130 - 1220pm,307,Wall Academic Center
CHE,Biocatalysis Research IV,lecture,,,,TBA ,,
CHE,Senior Res. I: Glycoscience,lecture,,,,TBA ,,
CHE,Advance Inorganic Research,lecture,,,,TBA ,,
CHE,Senior Research II,lecture,,,,TBA ,,
CHE,Polymer Research,lecture,,,,TBA ,,
CHE,Senior Res. II: Glycoscience,lecture,,,,TBA ,,
CHE,Honors Polymer Research,lecture,,,,TBA ,,
CHE,Honors Research: Glycoscience,lecture,,,,TBA ,,
CHE,Honors Thesis Research,lecture,,,,TBA ,,
CHE,Calculus II,lecture,MWF,0930,1020,0930 - 1020am,HANCE,Chambers Building
CHE,Calculus II,lecture,MWF,1230,1320,1230 - 0120pm,119,Watson Life Sciences Building
CHE,Multivar Calculus & Modeling,lecture,MWF,1230,1320,1230 - 0120pm,147,Watson Life Sciences Building
CHE,General Physics II Studio +Lab,lecture,MWF,0830,1020,0830 - 1020am,127,Dana Science Building
CHE,General Physics II Studio +Lab,lecture,MWF,0830,1020,0830 - 1020am,127,Dana Science Building
CHE,Gen PhysicsII +Calc:Studio+Lab,lecture,MWF,1030,1220,1030 - 1220pm,127,Dana Science Building
CHE,Gen PhysicsII +Calc:Studio+Lab,lecture,MWF,1030,1220,1030 - 1220pm,127,Dana Science Building
CHE,Gen PhysicsII +Calc:Studio+Lab,lecture,MWF,1230,1420,1230 - 0220pm,127,Dana Science Building
CHE,Gen PhysicsII +Calc:Studio+Lab,lecture,MWF,1230,1420,1230 - 0220pm,127,Dana Science Building
CHI,Asian Art After 1000,lecture,TR,1215,1330,1215 - 0130pm,117,Visual Arts Center
CHI,Elementary Chinese II,lecture,MWF,0930,1020,0930 - 1020am,B027,Chambers Building
CHI,Elementary Chinese II,lecture,MWF,1030,1120,1030 - 1120am,B027,Chambers Building
CHI,Intermediate Chinese II,lecture,MWF,1330,1420,0130 - 0220pm,2187,Chambers Building
CHI,Engendering Chinese Cinema,lecture,W,1330,1620,0130 - 0420pm,3068,Chambers Building
CHI,Advanced Chinese II,lecture,TR,1215,1330,1215 - 0130pm,3209,Chambers Building
CHI,Advanced Chinese,lecture,TR,1340,1455,0140 - 0255pm,3209,Chambers Building
CHI,Chinese Cinema,lecture,,,,TBA ,,
CHI,Literary Analysis,lecture,TR,1340,1455,0140 - 0255pm,109,Watson Life Sciences Building
CHI,Literary Analysis,lecture,MWF,1130,1220,1130 - 1220pm,2084,Chambers Building
CHI,Literary Criticism and Theory,lecture,W,1330,1620,0130 - 0420pm,140,Watson Life Sciences Building
CHI,Modern China,lecture,MWF,1330,1420,0130 - 0220pm,3106,Chambers Building
CHI,Theory & Prac Literature,lecture,W,1330,1620,0130 - 0420pm,3187,Chambers Building
CHI,Rise of China,lecture,R,1340,1620,0140 - 0420pm,2209,Chambers Building
CLA,Athenian Law in Action,lecture,MWF,0830,0920,0830 - 0920am,3106,Chambers Building
CLA,Families of Anc Mediterranean,lecture,MW,1430,1545,0230 - 0345pm,2068,Chambers Building
CLA,Greek and Roman Athletics,lecture,MWF,1330,1420,0130 - 0220pm,HANCE,Chambers Building
CLA,In Search of Ariadne,lecture,,,,TBA ,,
CLA,Coins and the Ancient Economy,lecture,TR,1340,1455,0140 - 0255pm,3196,Chambers Building
CLA,Honors Thesis,lecture,,,,TBA ,,
CLA,IntensAncientGreek (2 credits),second meeting time,TR,1215,1330,1215 - 0130pm,2209,Chambers Building
CLA,IntensAncientGreek (2 credits),second meeting time,MWF,1230,1320,1230 - 0120pm,1015,Chambers Building
CLA,New Testament Greek,lecture,MWF,1130,1220,1130 - 1220pm,101,EU Hall
CLA,Adv. New Testament Greek,lecture,MWF,1130,1220,1130 - 1220pm,101,EU Hall
CLA,Introductory Latin II,lecture,MWF,1130,1220,1130 - 1220pm,1046,Chambers Building
CLA,Pastoral Poetry,lecture,MWF,1030,1120,1030 - 1120am,1086,Chambers Building
CLA,Adv Pastoral Poetry,lecture,MWF,1030,1120,1030 - 1120am,1086,Chambers Building
CLA,Theory & Prac Literature,lecture,W,1330,1620,0130 - 0420pm,3187,Chambers Building
COM,Princ of Oral Communication,lecture,TR,0940,1055,0940 - 1055am,B027,Chambers Building
